smiles,dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
C(COS(=O)(=O)C(F)(F)F)OC(F)(F)F,DTXSID00442840,329710-76-1,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,112,2.4138249064651345e-15,pow,0.7755397352445266
CC(C(C(F)(F)F)(F)F)O,DTXSID70880134,374-40-3,1-Pentafluoroethylethanol,112,6.182317135253073e-10,poly1,0.7755397352445266
C(=O)(C(C(C(C(=O)Cl)(F)F)(F)F)(F)F)Cl,DTXSID0060985,678-77-3,Hexafluoroglutaryl chloride,112,0.023580917866749238,poly1,0.7755397352445266
CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID1032646,4151-50-2,N-Ethylperfluorooctane sulfonamide,112,0.991848230484108,exp4,0.7755397352445266
C(=O)(C(OC(C(OC(C(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID50375114,330562-41-9,"Perfluoro-3,6,9-trioxatridecanoic acid",112,0.285862873648183,pow,0.7755397352445266
C(=O)(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)O,DTXSID30382063,151772-58-6,"Perfluoro-3,6-dioxaheptanoic acid",112,7.63884394445677e-12,poly1,0.7755397352445266
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O,DTXSID00892442,13252-14-7,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",112,0.0,exp4,0.7755397352445266
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)Br)(F)F)(F)F)(F)F,DTXSID9059919,375-88-2,1-Bromopentadecafluoroheptane,112,7.64249442300413e-08,poly1,0.7755397352445266
CCO[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCC)OCC,DTXSID1074915,51851-37-7,Triethoxy((perfluorohexyl)ethyl)silane,112,6.832888256499791e-08,poly1,0.7755397352445266
C1=CSC(=C1)C(=O)CC(=O)C(C(C(F)(F)F)(F)F)(F)F,DTXSID7060332,559-94-4,(Perfluorobutyryl)-2-thenoylmethane,112,0.010729222553044579,pow,0.7755397352445266
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)[O-].[NH4+],DTXSID40108559,62037-80-3,Ammonium perfluoro-2-methyl-3-oxahexanoate,112,3.835841723746243e-10,poly1,0.7755397352445266
C=CC(=O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID9038840,17527-29-6,(Perfluorohexyl)ethyl acrylate,112,0.0,gnls,0.7755397352445266
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,DTXSID8059920,375-92-8,Perfluoroheptanesulfonic acid,112,0.9999935062467393,pow,0.7755397352445266
COC(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,DTXSID20881338,132182-92-4,3-Methoxyperfluoro(2-methylpentane),112,1.9821196786774036e-11,poly1,0.7755397352445266
CCCCCCCCC(=O)O,DTXSID3021641,112-05-0,Nonanoic acid,112,4.569822319989086e-08,poly1,0.7755397352445266
CCCCCCC(=O)O,DTXSID2021600,111-14-8,Heptanoic acid,112,5.009266199706054e-12,poly1,0.7755397352445266
CCCCCCCC(=O)O,DTXSID3021645,124-07-2,Octanoic acid,112,1.3089931084325319e-09,poly1,0.7755397352445266
CCCCCCCCCC(=O)O,DTXSID9021554,334-48-5,Decanoic acid,112,1.4501195469920235e-13,pow,0.7755397352445266
C(C(C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID5061954,1765-48-6,11-H-Perfluoroundecanoic acid,112,0.0003011313745869885,poly1,0.7755397352445266
C(C(OC(C(OC(C(OC(CO)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID00380798,330562-44-2,"1H,1H,11H,11H-Perfluorotetraethylene glycol",112,4.253944825821178e-12,poly1,0.7755397352445266
CCOC(=O)CC(=O)C(C(F)(F)F)(F)F,DTXSID20880144,663-35-4,Ethyl pentafluoropropionyl acetate,112,7.79724547153305e-10,poly1,0.7755397352445266
C[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(Cl)Cl,DTXSID00223797,73609-36-6,Dichloromethyl((perfluorohexyl)ethyl)silane,112,1.8228626821645372e-10,poly1,0.7755397352445266
C=CC(=O)OCC(C(C(COC(=O)C=C)(F)F)(F)F)(F)F,DTXSID5060986,678-95-5,"1H,1H,5H,5H-Perfluoro-1,5-pentanediol diacrylate",112,0.0,exp5,0.7755397352445266
CO[Si](C)(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OC,DTXSID40235137,85857-17-6,Dimethoxymethyl((perfluorohexyl)ethyl)silane,112,5.952990215642872e-12,pow,0.7755397352445266
C1C(O1)CC(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F,DTXSID00379884,54009-81-3,"3-(Perfluoro-3-methylbutyl)-1,2-propenoxide",112,2.2624716943065086e-06,poly1,0.7755397352445266
C=CC(=O)OCC(C(F)F)(F)F,DTXSID10224331,7383-71-3,"2,2,3,3-Tetrafluoropropyl acrylate",112,0.0,exp4,0.7755397352445266
C1C(O1)CC(C(C(F)(F)F)(F)F)(F)F,DTXSID10379254,1765-92-0,"1H,1H-Heptafluorobutyl epoxide",112,1.659974174167251e-07,poly1,0.7755397352445266
C(=O)(C(C(C(=O)O)(F)F)(F)F)O,DTXSID8059928,377-38-8,Perfluorobutanedioic acid,112,6.611746150547816e-08,pow,0.7755397352445266
C(CI)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID90880156,2043-52-9,"1-Iodo-1H,1H,2H,2H-perfluorononane",112,5.4394646019682503e-11,poly1,0.7755397352445266
CCCCCCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID20440585,133331-77-8,1-(Perfluorohexyl)octane,112,0.0,exp4,0.7755397352445266
C=CC(=O)OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID1068772,52591-27-2,2-(Perfluorobutyl)ethyl acrylate,112,2.7076955279443865e-14,exp5,0.7755397352445266
